"x","y","t","date","sleepSite","sleepSite.target"
78756,20445,5.066666667,"29_7_2007",8,0
78643,20557,6.6,"29_7_2007",8,0
78648,20612,7.616666667,"29_7_2007",8,0
78541,20809,8.633333333,"29_7_2007",8,0
78504,20936,9.65,"29_7_2007",8,0
78329,21248,10.66666667,"29_7_2007",8,0
78463,21514,11.68333333,"29_7_2007",8,0
78471,21518,12.7,"29_7_2007",8,0
78436,21401,13.71666667,"29_7_2007",8,0
78469,21439,14.73333333,"29_7_2007",8,0
78579,21441,15.75,"29_7_2007",8,0
78608,21311,16.76666667,"29_7_2007",8,0
78673,21324,17.78333333,"29_7_2007",8,0
78780,21096,12.13333333,"30_7_2007",8,0
78737,21127,13.15,"30_7_2007",8,0
78593,21299,14.16666667,"30_7_2007",8,0
78440,21513,15.18333333,"30_7_2007",8,0
78451,21436,16.2,"30_7_2007",8,0
78639,21289,17.21666667,"30_7_2007",8,0
78854,20424,11.71666667,"4_8_2007",1,1
79285,20798,12.73333333,"4_8_2007",1,1
79165,20902,13.75,"4_8_2007",1,1
79002,20843,14.76666667,"4_8_2007",1,1
78908,20799,15.78333333,"4_8_2007",1,1
78777,20794,16.78333333,"4_8_2007",1,1
78793,20808,17.8,"4_8_2007",1,1
78783,20806,5.416666667,"5_8_2007",0,0
78801,20656,6.566666667,"5_8_2007",0,0
78831,20631,7.583333333,"5_8_2007",0,0
78786,20582,8.6,"5_8_2007",0,0
79109,20388,9.6,"5_8_2007",0,0
79243,20365,10.61666667,"5_8_2007",0,0
79191,20305,11.63333333,"5_8_2007",0,0
78756,20445,5.533333333,"6_8_2007",1,1
78756,20540,6.55,"6_8_2007",1,1
78829,20647,7.566666667,"6_8_2007",1,1
78913,20753,8.583333333,"6_8_2007",1,1
78967,20935,9.6,"6_8_2007",1,1
78950,21102,10.61666667,"6_8_2007",1,1
78762,21040,11.63333333,"6_8_2007",1,1
78731,21013,12.65,"6_8_2007",1,1
78734,20986,13.66666667,"6_8_2007",1,1
78809,20912,14.68333333,"6_8_2007",1,1
78773,20844,15.7,"6_8_2007",1,1
78783,20806,5.533333333,"9_8_2007",8,0
78706,20699,6.55,"9_8_2007",8,0
78878,20695,7.566666667,"9_8_2007",8,0
79049,20727,8.583333333,"9_8_2007",8,0
79197,20633,9.6,"9_8_2007",8,0
79287,20625,10.61666667,"9_8_2007",8,0
79276,20697,11.63333333,"9_8_2007",8,0
79185,20742,12.65,"9_8_2007",8,0
78962,20840,13.66666667,"9_8_2007",8,0
78881,20822,14.68333333,"9_8_2007",8,0
78778,21157,15.7,"9_8_2007",8,0
78650,21273,16.71666667,"9_8_2007",8,0
78636,21296,5.666666667,"10_8_2007",8,0
78692,21351,6.683333333,"10_8_2007",8,0
78792,21421,7.7,"10_8_2007",8,0
78717,21496,8.7,"10_8_2007",8,0
78526,21468,9.716666667,"10_8_2007",8,0
78581,21373,10.71666667,"10_8_2007",8,0
78520,21233,11.73333333,"10_8_2007",8,0
78512,21065,12.75,"10_8_2007",8,0
78551,21112,13.76666667,"10_8_2007",8,0
78706,21052,14.78333333,"10_8_2007",8,0
78750,20842,15.8,"10_8_2007",8,0
78780,20818,16.81666667,"10_8_2007",8,0
78767,20794,17.83333333,"10_8_2007",8,0
78783,20806,5.666666667,"11_8_2007",1,1
78997,20906,6.683333333,"11_8_2007",1,1
79330,21005,7.7,"11_8_2007",1,1
79369,21020,8.7,"11_8_2007",1,1
79234,21182,9.716666667,"11_8_2007",1,1
79138,21171,10.71666667,"11_8_2007",1,1
79137,21048,11.73333333,"11_8_2007",1,1
79075,21024,12.75,"11_8_2007",1,1
78994,20887,13.9,"11_8_2007",1,1
78986,20844,14.91666667,"11_8_2007",1,1
78950,20789,15.93333333,"11_8_2007",1,1
78793,20828,16.95,"11_8_2007",1,1
78783,20806,5.45,"12_8_2007",1,1
78831,20634,6.466666667,"12_8_2007",1,1
78801,20593,7.483333333,"12_8_2007",1,1
78728,20558,8.483333333,"12_8_2007",1,1
78670,20549,9.5,"12_8_2007",1,1
78803,20497,10.51666667,"12_8_2007",1,1
78966,20372,11.53333333,"12_8_2007",1,1
78758,20546,12.55,"12_8_2007",1,1
78947,20628,13.56666667,"12_8_2007",1,1
79385,20370,14.58333333,"12_8_2007",1,1
79430,20322,15.6,"12_8_2007",1,1
79547,20591,16.61666667,"12_8_2007",1,1
79616,20854,17.63333333,"12_8_2007",1,1
78783,20806,5.566666667,"13_8_2007",8,0
79034,20624,6.916666667,"13_8_2007",8,0
79202,20802,7.933333333,"13_8_2007",8,0
79471,20790,8.95,"13_8_2007",8,0
79524,20751,9.966666667,"13_8_2007",8,0
79407,20761,10.96666667,"13_8_2007",8,0
79144,20756,11.98333333,"13_8_2007",8,0
78897,20516,13,"13_8_2007",8,0
78889,21007,14.01666667,"13_8_2007",8,0
78740,21047,15.03333333,"13_8_2007",8,0
78662,21203,16.03333333,"13_8_2007",8,0
78678,21314,17.05,"13_8_2007",8,0
78688,21294,18.06666667,"13_8_2007",8,0
78636,21296,5.666666667,"14_8_2007",5,0
78601,21449,6.683333333,"14_8_2007",5,0
78733,21412,7.7,"14_8_2007",5,0
78902,21455,8.7,"14_8_2007",5,0
79028,21565,9.716666667,"14_8_2007",5,0
79173,21626,10.71666667,"14_8_2007",5,0
79388,21718,11.73333333,"14_8_2007",5,0
79529,21799,12.75,"14_8_2007",5,0
79716,21700,13.76666667,"14_8_2007",5,0
79648,21667,14.78333333,"14_8_2007",5,0
79646,21679,15.8,"14_8_2007",5,0
79610,21682,16.81666667,"14_8_2007",5,0
79653,21680,5.5,"15_8_2007",1,1
79743,21604,6.516666667,"15_8_2007",1,1
79512,21420,7.516666667,"15_8_2007",1,1
79265,21356,8.533333333,"15_8_2007",1,1
79076,21364,9.55,"15_8_2007",1,1
78966,21517,10.56666667,"15_8_2007",1,1
78976,21483,11.58333333,"15_8_2007",1,1
78826,21290,12.6,"15_8_2007",1,1
78789,21238,13.61666667,"15_8_2007",1,1
78739,21105,14.63333333,"15_8_2007",1,1
78799,20904,15.65,"15_8_2007",1,1
78799,20787,16.66666667,"15_8_2007",1,1
78698,20547,9.516666667,"16_8_2007",8,0
78539,20770,10.51666667,"16_8_2007",8,0
78711,20944,11.53333333,"16_8_2007",8,0
78760,21036,12.55,"16_8_2007",8,0
78546,20969,13.56666667,"16_8_2007",8,0
78567,21070,14.58333333,"16_8_2007",8,0
78671,21322,15.6,"16_8_2007",8,0
78680,21312,16.61666667,"16_8_2007",8,0
78636,21296,5.75,"17_8_2007",1,1
78732,21383,6.766666667,"17_8_2007",1,1
78790,21397,7.783333333,"17_8_2007",1,1
78804,21327,8.8,"17_8_2007",1,1
78801,21323,9.816666667,"17_8_2007",1,1
78868,21308,10.81666667,"17_8_2007",1,1
78906,21224,11.83333333,"17_8_2007",1,1
78917,21132,12.85,"17_8_2007",1,1
78977,20972,13.86666667,"17_8_2007",1,1
78783,20996,14.88333333,"17_8_2007",1,1
78795,20888,15.9,"17_8_2007",1,1
78783,20806,5.5,"18_8_2007",5,0
78799,21158,6.516666667,"18_8_2007",5,0
79012,21184,7.516666667,"18_8_2007",5,0
