GPSX,GPSY,SS_Evening,x,y,
778340,1818080,SS_Bal,78340,18080,18080
779257,1822355,SS_Bin,79257,22355,
778605,1821999,SS_Boe,78605,21999,
778514,1818408,SS_Boi,78514,18408,
778604,1819637,SS_Bon,78604,19637,
779506,1818564,SS_Coo,79506,18564,
778877,1819589,SS_Daa,78877,19589,
778707,1820571,SS_Din,78707,20571,
777857,1820319,SS_Exp,77857,20319,
779912,1817729,SS_Far,79912,17729,
778946,1819817,SS_Fon,78946,19817,
780419,1821595,SS_Gao,80419,21595,
778780,1818260,SS_Hao,78780,18260,
,,SS_Hep,,,
,,SS_Hin,,,
778954,1819416,SS_Hok,78954,19416,
777490,1819759,SS_Hua,77490,19759,
778511,1821237,SS_Jai,78511,21237,
,,SS_Jek,,,
779020,1818095,SS_Jet,79020,18095,
778661,1821876,SS_Jon,78661,21876,
779085,1818110,SS_Joo,79085,18110,
779944,1820214,SS_K,79944,20214,
779280,1818836,SS_Kam,79280,18836,
779904,1819053,SS_Kid,79904,19053,
779510,1819108,SS_Kod,79510,19108,
778783,1820806,SS_Kow,78783,20806,
780040,1819360,SS_Kra,80040,19360,
779094,1818758,SS_Lar,79094,18758,
780685,1822025,SS_Lii,80685,22025,
,,SS_Low,,,
778257,1818689,SS_Low,78257,18689,
777621,1819742,SS_Maa,77621,19742,
780681,1820135,SS_Mai,80681,20135,
780578,1820039,SS_mai2,80578,20039,
778756,1820445,SS_Moi,78756,20445,
778500,1817980,SS_Mok,78500,17980,
779465,1818747,SS_Mom,79465,18747,
780681,1820135,SS_Nga,80681,20135,
780800,1821300,SS_Nga/bua,80800,21300,
,,SS_Nid,,,
778475,1818380,SS_Noi,78475,18380,
779628,1820838,SS_Non,79628,20838,
779000,1818300,SS_Oxy,79000,18300,
779191,1817716,SS_Pen,79191,17716,
778359,1821238,SS_Pok,78359,21238,
781978,1822080,SS_Pop,81978,22080,
779348,1820548,SS_Q,79348,20548,
,,SS_R,,,
779695,1819220,SS_Sal,79695,19220,
778636,1821296,SS_San,78636,21296,
780345,1818909,SS_Say,80345,18909,
778699,1817640,SS_Sol,78699,17640,
779657,1817600,SS_Som,79657,17600,
779653,1821680,SS_Tag,79653,21680,
780032,1818904,SS_Tao,80032,18904,
780699,1820383,SS_Ton,80699,20383,
779868,1818609,SS_Top,79868,18609,
779274,1819105,SS_Tua,79274,19105,
778598,1821906,SS_Tyu,78598,21906,
778180,1821063,SS_U,78180,21063,
778534,1820146,SS_W,78534,20146,
,,SS_Wai,,,
,,SS_Wii,,,
779856,1818635,SS_Wii,79856,18635,
779117,1819973,SS_Wok,79117,19973,
779051,1822446,SS_Won,79051,22446,
778044,1819689,SS_X,78044,19689,
778610,1820689,SS_X_U,78610,20689,
780350,1818885,SS_Y,80350,18885,
778866,1820346,SS_Yan,78866,20346,
778890,1819060,NA,78890,19060,
